#入力日時,購入日,品目,金額,森山立替,木村立替,山本立替,森山分担,木村分担,山本分担,森山端数,木村端数,山本端数,精算状況
2013年02月26日20時55分34秒,20130202,食費,554,,554,,277,277,,null,null,null,精算(端数込)
2013年02月26日21時00分14秒,20130202,外食費,6850,,6850,,,3425,3425,null,null,null,精算(端数込)
2013年02月26日21時01分22秒,20130202,食費,640,,640,,213,213,213,null,1,null,精算(端数込)
2013年02月05日01時15分43秒,20130203,外食費,1570,1570,,,523,523,523,1,null,null,精算(端数込)
2013年02月12日00時29分25秒,20130203,食費,1260,,,1260,420,420,420,null,null,null,精算(端数込)
2013年02月26日20時54分13秒,20130203,食費,1391,,1391,,463,463,463,null,2,null,精算(端数込)
2013年02月26日20時54分32秒,20130203,食費,848,,848,,282,282,282,null,2,null,精算(端数込)
2013年02月26日20時54分52秒,20130203,食費,840,,840,,280,280,280,null,null,null,精算(端数込)
2013年02月05日01時14分20秒,20130204,雑貨(消耗品),1880,1880,,,626,626,626,2,null,null,精算(端数込)
2013年02月05日01時14分32秒,20130204,雑貨(消耗品),398,398,,,132,132,132,2,null,null,精算(端数込)
2013年02月05日01時15分09秒,20130204,外食費,630,630,,,210,210,210,null,null,null,精算(端数込)
2013年02月05日01時15分22秒,20130204,外食費,1000,1000,,,333,333,333,1,null,null,精算(端数込)
2013年02月05日01時16分29秒,20130204,外食費,630,630,,,210,210,210,null,null,null,精算(端数込)
2013年02月05日01時18分23秒,20130204,食費,577,577,,,192,192,192,1,null,null,精算(端数込)
2013年02月26日20時52分22秒,20130204,食費,1439,,1439,,479,479,479,null,2,null,精算(端数込)
2013年02月26日20時53分13秒,20130204,食費,1886,,1886,,1886,,,null,null,null,精算(端数込)
2013年03月31日13時57分28秒,20130205,食費,880,880,,,293,293,293,1,null,null,精算(端数込)
2013年02月06日18時23分45秒,20130206,NTT料金,3026,3026,,,1008,1008,1008,2,null,null,精算(端数込)
2013年02月06日18時23分56秒,20130206,NTT料金,2992,2992,,,997,997,997,1,null,null,精算(端数込)
2013年02月06日18時24分47秒,20130206,ガス代,11408,11408,,,3802,3802,3802,2,null,null,精算(端数込)
2013年02月06日18時24分59秒,20130206,ガス代,9956,9956,,,3318,3318,3318,2,null,null,精算(端数込)
2013年02月06日18時25分19秒,20130206,水道代,11551,11551,,,3850,3850,3850,1,null,null,精算(端数込)
2013年02月06日18時25分41秒,20130206,電気代,12417,12417,,,4139,4139,4139,null,null,null,精算(端数込)
2013年02月06日18時26分01秒,20130206,電気代,15470,15470,,,5156,5156,5156,2,null,null,精算(端数込)
2013年02月07日13時46分54秒,20130206,食費,2970,2970,,,1485,1485,,null,null,null,精算(端数込)
2013年02月12日00時29分07秒,20130206,食費,597,,,597,199,199,199,null,null,null,精算(端数込)
2013年02月26日20時50分45秒,20130207,食費,2410,,2410,,1205,1205,,null,null,null,精算(端数込)
2013年02月26日20時51分15秒,20130207,食費,168,,168,,168,,,null,null,null,精算(端数込)
2013年02月26日20時51分51秒,20130207,食費,322,,322,,322,,,null,null,null,精算(端数込)
2013年02月08日22時09分32秒,20130208,外食費,9530,,9530,,4765,4765,,null,null,null,精算(端数込)
2013年02月26日20時49分33秒,20130209,食費,222,,222,,74,74,74,null,null,null,精算(端数込)
2013年02月26日20時49分53秒,20130209,食費,179,,179,,,,179,null,null,null,精算(端数込)
2013年02月26日20時50分15秒,20130209,食費,1420,,1420,,,710,710,null,null,null,精算(端数込)
2013年02月26日20時43分21秒,20130210,食費,570,,570,,190,190,190,null,null,null,精算(端数込)
2013年02月26日20時43分42秒,20130210,雑貨(消耗品),4000,,4000,,1333,1333,1333,null,1,null,精算(端数込)
2013年02月26日20時44分01秒,20130210,食費,158,,158,,52,52,52,null,2,null,精算(端数込)
2013年02月26日20時49分13秒,20130210,食費,1070,,1070,,535,535,,null,null,null,精算(端数込)
2013年02月11日17時25分50秒,20130211,クリーニング,775,,,775,,775,,null,null,null,精算(端数込)
2013年02月12日00時29分41秒,20130211,食費,5300,,,5300,1766,1766,1766,null,null,2,精算(端数込)
2013年02月12日00時30分01秒,20130211,雑貨(消耗品),476,,,476,158,158,158,null,null,2,精算(端数込)
2013年02月28日22時49分50秒,20130211,食費,2400,2400,,,800,800,800,null,null,null,精算(端数込)
2013年02月26日20時43分04秒,20130212,食費,222,,222,,74,74,74,null,null,null,精算(端数込)
2013年02月26日20時40分18秒,20130213,食費,729,,729,,364,364,,null,1,null,精算(端数込)
2013年02月26日20時41分25秒,20130213,食費,480,,480,,480,,,null,null,null,精算(端数込)
2013年02月26日20時41分51秒,20130213,食費,1113,,1113,,556,556,,null,1,null,精算(端数込)
2013年02月26日20時42分12秒,20130213,食費,262,,262,,131,131,,null,null,null,精算(端数込)
2013年02月26日20時42分41秒,20130213,食費,609,,609,,609,,,null,null,null,精算(端数込)
2013年02月26日20時39分45秒,20130216,雑貨(消耗品),1072,,1072,,357,357,357,null,1,null,精算(端数込)
2013年03月12日01時47分12秒,20130216,食費,1200,,,1200,400,400,400,null,null,null,精算(端数込)
2013年03月12日01時48分27秒,20130216,食費,2332,,,2332,777,777,777,null,null,1,精算(端数込)
2013年03月12日01時48分39秒,20130216,雑貨(消耗品),4440,,,4440,1480,1480,1480,null,null,null,精算(端数込)
2013年03月12日01時48分51秒,20130216,食費,540,,,540,180,180,180,null,null,null,精算(端数込)
2013年03月12日01時48分59秒,20130217,食費,2824,,,2824,941,941,941,null,null,1,精算(端数込)
2013年03月25日13時29分16秒,20130221,雑貨(消耗品),2675,2675,,,891,891,891,2,null,null,精算(端数込)
2013年02月26日20時39分17秒,20130222,食費,222,,222,,74,74,74,null,null,null,精算(端数込)
2013年02月28日22時49分34秒,20130222,食費,2860,2860,,,953,953,953,1,null,null,精算(端数込)
2013年03月12日01時49分44秒,20130222,雑貨(消耗品),880,,,880,293,293,293,null,null,1,精算(端数込)
2013年03月12日01時50分13秒,20130222,食費,1382,,,1382,460,460,460,null,null,2,精算(端数込)
2013年03月12日01時50分32秒,20130222,食費,1504,,,1504,501,501,501,null,null,1,精算(端数込)
2013年03月12日01時50分41秒,20130222,食費,1539,,,1539,513,513,513,null,null,null,精算(端数込)
2013年03月12日01時50分50秒,20130222,食費,1160,,,1160,386,386,386,null,null,2,精算(端数込)
2013年02月26日20時39分01秒,20130223,雑貨(消耗品),378,,378,,126,126,126,null,null,null,精算(端数込)
2013年03月12日01時49分25秒,20130223,食費,5732,,,5732,1910,1910,1910,null,null,2,精算(端数込)
2013年02月28日22時47分44秒,20130224,食費,4947,4947,,,2473,2473,,1,null,null,精算(端数込)
2013年02月28日22時47分56秒,20130224,食費,367,367,,,183,183,,1,null,null,精算(端数込)
2013年02月28日22時48分09秒,20130224,食費,654,654,,,218,218,218,null,null,null,精算(端数込)
2013年02月28日22時48分28秒,20130224,食費,840,840,,,280,280,280,null,null,null,精算(端数込)
2013年02月28日22時48分43秒,20130225,食費,1439,1439,,,479,479,479,2,null,null,精算(端数込)
2013年02月28日22時48分55秒,20130225,食費,240,240,,,120,120,,null,null,null,精算(端数込)
2013年02月28日22時49分03秒,20130225,食費,1000,1000,,,333,333,333,1,null,null,精算(端数込)
2013年02月28日22時49分15秒,20130225,食費,1029,1029,,,514,514,,1,null,null,精算(端数込)
2013年02月26日20時38分21秒,20130226,食費,222,,222,,74,74,74,null,null,null,精算(端数込)
2013年02月26日20時38分38秒,20130226,食費,300,,300,,100,100,100,null,null,null,精算(端数込)
2013年02月28日22時47分10秒,20130226,食費,756,756,,,252,252,252,null,null,null,精算(端数込)
2013年02月28日22時47分19秒,20130226,食費,525,525,,,175,175,175,null,null,null,精算(端数込)
2013年02月28日22時46分35秒,20130227,家賃振込料,420,420,,,140,140,140,null,null,null,精算(端数込)
2013年03月30日16時58分56秒,20130227,雑貨(消耗品),98,,98,,32,32,32,null,2,null,精算(端数込)
2013年03月30日16時59分04秒,20130227,雑貨(消耗品),1134,,1134,,378,378,378,null,null,null,精算(端数込)
2013年03月30日16時59分20秒,20130227,雑貨(消耗品),798,,798,,266,266,266,null,null,null,精算(端数込)
2013年03月30日16時59分30秒,20130227,雑貨(消耗品),999,,999,,333,333,333,null,null,null,精算(端数込)
2013年03月30日17時00分00秒,20130227,雑貨(消耗品),4140,,4140,,1380,1380,1380,null,null,null,精算(端数込)
2013年03月30日16時56分16秒,20130303,食費,1110,,1110,,370,370,370,null,null,null,精算(端数込)
2013年03月30日16時56分44秒,20130303,雑貨(消耗品),698,,698,,232,232,232,null,2,null,精算(端数込)
2013年03月30日16時57分19秒,20130303,食費,1685,,1685,,561,561,561,null,2,null,精算(端数込)
2013年03月30日16時57分32秒,20130303,食費,1000,,1000,,333,333,333,null,1,null,精算(端数込)
2013年03月30日16時56分28秒,20130304,食費,880,,880,,293,293,293,null,1,null,精算(端数込)
2013年03月30日16時56分00秒,20130306,食費,198,,198,,66,66,66,null,null,null,精算(端数込)
2013年03月30日16時55分41秒,20130307,食費,3150,,3150,,1050,1050,1050,null,null,null,精算(端数込)
2013年03月24日15時13分33秒,20130308,食費,1430,1430,,,,1430,,null,null,null,精算(端数込)
2013年03月12日01時47分38秒,20130309,食費,1919,,,1919,639,639,639,null,null,2,精算(端数込)
2013年03月12日01時47分46秒,20130309,食費,2115,,,2115,705,705,705,null,null,null,精算(端数込)
2013年03月12日01時48分00秒,20130309,食費,525,,,525,175,175,175,null,null,null,精算(端数込)
2013年03月30日16時54分43秒,20130309,食費,1848,,1848,,616,616,616,null,null,null,精算(端数込)
2013年03月30日16時55分23秒,20130309,食費,603,,603,,603,,,null,null,null,精算(端数込)
2013年03月12日01時48分18秒,20130310,食費,2428,,,2428,809,809,809,null,null,1,精算(端数込)
2013年03月12日01時51分41秒,20130310,ケーブル代,6930,,,6930,2310,2310,2310,null,null,null,精算(端数込)
2013年03月12日01時51分59秒,20130310,雑貨(家具･家電),9500,,,9500,9500,,,null,null,null,精算(端数込)
2013年03月30日16時54分21秒,20130310,食費,1850,,1850,,,925,925,null,null,null,精算(端数込)
2013年03月30日16時53分25秒,20130311,雑貨(消耗品),13960,,13960,,6980,6980,,null,null,null,精算(端数込)
2013年03月30日16時53分49秒,20130311,雑貨(消耗品),4190,,4190,,1396,1396,1396,null,2,null,精算(端数込)
2013年03月30日16時53分00秒,20130312,雑貨(消耗品),2300,,2300,,1150,1150,,null,null,null,精算(端数込)
2013年03月24日15時15分25秒,20130313,雑貨(消耗品),2577,2577,,,859,859,859,null,null,null,精算(端数込)
2013年03月30日16時52分30秒,20130313,雑貨(消耗品),278,,278,,92,92,92,null,2,null,精算(端数込)
2013年03月30日16時51分42秒,20130314,食費,698,,698,,232,232,232,null,2,null,精算(端数込)
2013年03月30日16時51分54秒,20130314,食費,880,,880,,293,293,293,null,1,null,精算(端数込)
2013年03月21日04時14分56秒,20130316,食費,1384,,,1384,461,461,461,null,null,1,精算(端数込)
2013年03月19日09時16分00秒,20130317,クリーニング,1700,,,1700,,1700,,null,null,null,精算(端数込)
2013年03月19日09時16分44秒,20130317,外食費,9620,,,9620,3206,3206,3206,null,null,2,精算(端数込)
2013年03月21日04時14分34秒,20130317,食費,720,,,720,240,240,240,null,null,null,精算(端数込)
2013年03月30日16時50分38秒,20130317,食費,184,,184,,61,61,61,null,1,null,精算(端数込)
2013年03月30日16時51分03秒,20130317,食費,1570,,1570,,,785,785,null,null,null,精算(端数込)
2013年03月30日16時50分13秒,20130319,食費,198,,198,,66,66,66,null,null,null,精算(端数込)
2013年03月21日04時04分12秒,20130320,食費,1336,,,1336,445,445,445,null,null,1,精算(端数込)
2013年03月21日04時04分29秒,20130320,食費,580,,,580,193,193,193,null,null,1,精算(端数込)
2013年03月21日04時04分46秒,20130320,食費,3700,,,3700,1233,1233,1233,null,null,1,精算(端数込)
2013年03月30日16時49分41秒,20130321,食費,372,,372,,124,124,124,null,null,null,精算(端数込)
2013年03月24日15時14分32秒,20130323,食費,1440,1440,,,480,480,480,null,null,null,精算(端数込)
2013年03月28日03時08分31秒,20130323,食費,1200,,,1200,400,400,400,null,null,null,精算(端数込)
2013年03月28日03時09分00秒,20130323,食費,4602,,,4602,1534,1534,1534,null,null,null,精算(端数込)
2013年03月30日16時48分50秒,20130323,雑貨(消耗品),398,,398,,132,132,132,null,2,null,精算(端数込)
2013年03月30日16時49分04秒,20130323,雑貨(消耗品),3100,,3100,,1033,1033,1033,null,1,null,精算(端数込)
2013年03月25日20時55分30秒,20130324,食費,18140,18140,,,6046,6046,6046,2,null,null,精算(端数込)
2013年03月28日03時08分48秒,20130324,食費,1122,,,1122,374,374,374,null,null,null,精算(端数込)
2013年03月25日20時51分05秒,20130325,NTT料金,2992,2992,,,997,997,997,1,null,null,精算(端数込)
2013年03月25日20時51分31秒,20130325,ガス代,10066,10066,,,3355,3355,3355,1,null,null,精算(端数込)
2013年03月25日20時51分48秒,20130325,ガス代,15306,15306,,,5102,5102,5102,null,null,null,精算(端数込)
2013年03月25日20時52分13秒,20130325,電気代,17663,17663,,,5887,5887,5887,2,null,null,精算(端数込)
2013年03月25日20時52分35秒,20130325,水道代,9324,9324,,,3108,3108,3108,null,null,null,精算(端数込)
2013年03月25日20時53分19秒,20130325,食費,630,630,,,315,315,,null,null,null,精算(端数込)
2013年03月25日20時54分28秒,20130325,食費,1050,1050,,,525,525,,null,null,null,精算(端数込)
2013年03月25日20時54分41秒,20130325,食費,1439,1439,,,719,719,,1,null,null,精算(端数込)
2013年03月25日20時54分54秒,20130325,食費,941,941,,,470,470,,1,null,null,精算(端数込)
2013年03月30日16時48分25秒,20130326,雑貨(消耗品),556,,556,,185,185,185,null,1,null,精算(端数込)
2013年03月28日03時04分38秒,20130327,NTT料金,3030,3030,,,1010,1010,1010,null,null,null,精算(端数込)
2013年03月28日03時04分54秒,20130327,ガス代,8829,8829,,,2943,2943,2943,null,null,null,精算(端数込)
2013年03月28日03時09分21秒,20130327,外食費,4720,,,4720,2360,,2360,null,null,null,精算(端数込)
2013年03月28日23時53分49秒,20130328,食費,6150,6150,,,3075,3075,,null,null,null,精算(端数込)
2013年03月30日16時47分48秒,20130329,食費,2500,,2500,,1250,1250,,null,null,null,精算(端数込)
2013年04月26日01時31分44秒,20130329,家賃振込料,420,420,,,140,140,140,null,null,null,精算(端数込)
2013年03月30日16時46分24秒,20130330,食費,158,,158,,,,158,null,null,null,精算(端数込)
2013年03月30日16時46分33秒,20130330,食費,222,,222,,74,74,74,null,null,null,精算(端数込)
2013年03月30日16時46分50秒,20130330,食費,1190,,1190,,,595,595,null,null,null,精算(端数込)
2013年04月22日18時19分56秒,20130330,食費,273,,273,,,,273,null,null,null,精算(端数込)
2013年04月22日18時28分41秒,20130330,外食費,7910,,7910,,2636,2636,2636,null,2,null,精算(端数込)
2013年03月31日13時57分54秒,20130331,食費,1540,1540,,,513,513,513,1,null,null,精算(端数込)
2013年04月01日01時58分08秒,20130331,食費,570,,,570,570,,,null,null,null,精算(端数込)
2013年04月01日01時58分32秒,20130331,食費,4683,,,4683,1561,1561,1561,null,null,null,精算(端数込)
2013年04月22日18時20分12秒,20130401,食費,520,,520,,173,173,173,null,1,null,精算(端数込)
2013年04月22日18時20分35秒,20130401,雑貨(消耗品),396,,396,,132,132,132,null,null,null,精算(端数込)
2013年04月22日18時21分11秒,20130404,食費,2110,,2110,,1055,1055,,null,null,null,精算(端数込)
2013年04月14日22時55分14秒,20130406,食費,812,,,812,270,270,270,null,null,2,精算(端数込)
2013年04月14日22時55分39秒,20130406,食費,4283,,,4283,1427,1427,1427,null,null,2,精算(端数込)
2013年04月14日22時55分48秒,20130406,食費,1200,,,1200,400,400,400,null,null,null,精算(端数込)
2013年04月22日18時21分43秒,20130406,食費,315,,315,,,,315,null,null,null,精算(端数込)
2013年04月22日18時23分07秒,20130407,外食費,12600,,12600,,4200,4200,4200,null,null,null,精算(端数込)
2013年04月22日18時23分26秒,20130408,食費,600,,600,,600,,,null,null,null,精算(端数込)
2013年04月22日18時23分57秒,20130408,食費,2326,,2326,,1163,1163,,null,null,null,精算(端数込)
2013年04月22日18時24分16秒,20130408,食費,221,,221,,110,110,,null,1,null,精算(端数込)
2013年04月22日18時24分43秒,20130409,雑貨(消耗品),796,,796,,265,265,265,null,1,null,精算(端数込)
2013年04月22日18時25分03秒,20130412,食費,3040,,3040,,1520,1520,,null,null,null,精算(端数込)
2013年04月22日18時25分33秒,20130412,食費,221,,221,,110,110,,null,1,null,精算(端数込)
2013年04月14日22時56分36秒,20130413,食費,5254,,,5254,1751,1751,1751,null,null,1,精算(端数込)
2013年04月22日18時25分57秒,20130413,雑貨(消耗品),674,,674,,224,224,224,null,2,null,精算(端数込)
2013年04月14日22時54分40秒,20130414,クリーニング,568,,568,,,,568,null,null,null,精算(端数込)
2013年04月14日22時56分43秒,20130414,食費,1200,,,1200,400,400,400,null,null,null,精算(端数込)
2013年04月14日22時57分06秒,20130414,雑貨(消耗品),2500,,,2500,833,833,833,null,null,1,精算(端数込)
2013年04月14日22時58分29秒,20130414,NHK料金,4040,,,4040,1346,1346,1346,null,null,2,精算(端数込)
2013年04月14日22時59分37秒,20130414,ケーブル代,6930,,,6930,2310,2310,2310,null,null,null,精算(端数込)
2013年04月22日18時17分32秒,20130414,クリーニング,1785,,1785,,1785,,,null,null,null,精算(端数込)
2013年04月22日18時17分55秒,20130414,クリーニング,2940,,2940,,,,2940,null,null,null,精算(端数込)
2013年04月16日00時24分58秒,20130415,食費,1743,1743,,,871,871,,1,null,null,精算(端数込)
2013年04月26日01時30分44秒,20130415,雑貨(消耗品),1380,1380,,,460,460,460,null,null,null,精算(端数込)
2013年04月26日01時31分21秒,20130416,雑貨(消耗品),796,796,,,265,265,265,1,null,null,精算(端数込)
2013年04月26日01時30分14秒,20130419,雑貨(消耗品),2520,2520,,,840,840,840,null,null,null,精算(端数込)
2013年04月22日18時26分29秒,20130420,食費,382,,382,,127,127,127,null,1,null,精算(端数込)
2013年04月29日03時32分14秒,20130420,食費,840,,,840,280,280,280,null,null,null,精算(端数込)
2013年04月29日03時32分22秒,20130420,食費,1060,,,1060,353,353,353,null,null,1,精算(端数込)
2013年04月22日18時26分43秒,20130421,食費,6560,,6560,,2186,2186,2186,null,2,null,精算(端数込)
2013年04月22日18時27分04秒,20130421,食費,698,,698,,698,,,null,null,null,精算(端数込)
2013年04月22日18時27分28秒,20130421,食費,148,,148,,49,49,49,null,1,null,精算(端数込)
2013年04月22日18時27分38秒,20130421,食費,298,,298,,,149,149,null,null,null,精算(端数込)
2013年04月22日18時27分47秒,20130421,食費,398,,398,,132,132,132,null,2,null,精算(端数込)
2013年04月22日18時28分07秒,20130421,雑貨(消耗品),696,,696,,232,232,232,null,null,null,精算(端数込)
2013年04月29日03時32分31秒,20130421,食費,1519,,,1519,506,506,506,null,null,1,精算(端数込)
2013年04月22日20時05分38秒,20130422,クリーニング,875,,875,,,,875,null,null,null,精算(端数込)
2013年04月22日20時07分01秒,20130422,クリーニング,2426,,2426,,,,2426,null,null,null,精算(端数込)
2013年04月22日20時07分25秒,20130422,クリーニング,1292,,1292,,1292,,,null,null,null,精算(端数込)
2013年04月26日01時29分39秒,20130422,雑貨(消耗品),420,420,,,140,140,140,null,null,null,精算(端数込)
2013年05月20日21時19分05秒,20130423,食費,158,,158,,52,52,52,null,2,null,精算(端数込)
2013年04月26日23時04分37秒,20130426,食費,3212,,,3212,1070,1070,1070,null,null,2,精算(端数込)
2013年05月01日14時44分29秒,20130426,家賃振込料,420,420,,,140,140,140,null,null,null,精算(端数込)
2013年06月27日03時58分00秒,20130426,食費,820,820,,,273,273,273,1,null,null,精算(端数込)
2013年05月20日21時18分48秒,20130427,交通費,2690,,2690,,896,896,896,null,2,null,精算(端数込)
2013年05月20日21時19分24秒,20130427,食費,1150,,1150,,383,383,383,null,1,null,精算(端数込)
2013年04月29日03時31分39秒,20130428,雑貨(消耗品),2800,,,2800,933,933,933,null,null,1,精算(端数込)
2013年04月29日03時31分53秒,20130428,食費,3570,,,3570,1190,1190,1190,null,null,null,精算(端数込)
2013年04月29日03時31分59秒,20130428,食費,1200,,,1200,400,400,400,null,null,null,精算(端数込)
2013年05月20日00時33分27秒,20130429,食費,1250,,,1250,,625,625,null,null,null,精算(端数込)
2013年05月03日13時45分23秒,20130503,ケーブル代,6930,,,6930,2310,2310,2310,null,null,null,精算(端数込)
2013年05月20日21時11分08秒,20130504,食費,308,,308,,102,102,102,null,2,null,精算(端数込)
2013年05月20日21時11分14秒,20130504,食費,158,,158,,,,158,null,null,null,精算(端数込)
2013年05月20日21時11分31秒,20130504,食費,1100,,1100,,,550,550,null,null,null,精算(端数込)
2013年05月20日00時33分45秒,20130505,食費,647,,,647,215,215,215,null,null,2,精算(端数込)
2013年05月20日00時34分01秒,20130505,食費,464,,,464,154,154,154,null,null,2,精算(端数込)
2013年05月20日00時34分14秒,20130506,食費,1200,,,1200,400,400,400,null,null,null,精算(端数込)
2013年05月20日00時34分23秒,20130506,食費,2634,,,2634,878,878,878,null,null,null,精算(端数込)
2013年05月20日21時10分34秒,20130506,雑貨(消耗品),796,,796,,265,265,265,null,1,null,精算(端数込)
2013年05月20日21時09分09秒,20130511,外食費,6900,,6900,,2300,2300,2300,null,null,null,精算(端数込)
2013年05月20日21時09分35秒,20130511,食費,284,,284,,,,284,null,null,null,精算(端数込)
2013年05月20日21時10分06秒,20130511,食費,2290,,2290,,,1145,1145,null,null,null,精算(端数込)
2013年05月20日00時34分37秒,20130512,交通費,2870,,,2870,956,956,956,null,null,2,精算(端数込)
2013年05月20日21時08分25秒,20130512,食費,222,,222,,74,74,74,null,null,null,精算(端数込)
2013年05月20日21時08分48秒,20130512,食費,1900,,1900,,633,633,633,null,1,null,精算(端数込)
2013年05月20日21時08分10秒,20130513,食費,179,,179,,59,59,59,null,2,null,精算(端数込)
2013年05月20日21時20分49秒,20130513,クリーニング,785,,785,,,,785,null,null,null,精算(端数込)
2013年05月20日21時21分01秒,20130513,クリーニング,1535,,1535,,1535,,,null,null,null,精算(端数込)
2013年05月20日21時07分41秒,20130516,外食費,1360,,1360,,1360,,,null,null,null,精算(端数込)
2013年06月27日03時58分34秒,20130517,食費,1000,1000,,,333,333,333,1,null,null,精算(端数込)
2013年05月20日00時35分11秒,20130518,外食費,300,,300,,,,300,null,null,null,精算(端数込)
2013年05月20日21時06分50秒,20130518,食費,1680,,1680,,560,560,560,null,null,null,精算(端数込)
2013年05月20日00時32分47秒,20130519,食費,5695,,,5695,1898,1898,1898,null,null,1,精算(端数込)
2013年05月20日00時33分03秒,20130519,雑貨(消耗品),380,,,380,126,126,126,null,null,2,精算(端数込)
2013年05月20日21時05分41秒,20130519,食費,179,,179,,59,59,59,null,2,null,精算(端数込)
2013年05月20日21時06分02秒,20130519,食費,483,,483,,,,483,null,null,null,精算(端数込)
2013年05月20日21時06分31秒,20130519,雑貨(消耗品),5261,,5261,,1753,1753,1753,null,2,null,精算(端数込)
2013年06月06日01時39分10秒,20130519,食費,2753,,,2753,917,917,917,null,null,2,精算(端数込)
2013年05月20日21時05分05秒,20130520,雑貨(消耗品),258,,258,,86,86,86,null,null,null,精算(端数込)
2013年05月20日21時05分26秒,20130520,食費,1904,,1904,,634,634,634,null,2,null,精算(端数込)
2013年06月27日03時59分24秒,20130524,食費,1126,1126,,,375,375,375,1,null,null,精算(端数込)
2013年07月18日21時20分03秒,20130524,雑貨(消耗品),1050,,1050,,525,525,,null,null,null,精算(端数込)
2013年06月06日01時39分40秒,20130525,食費,3453,,,3453,1151,1151,1151,null,null,null,精算(端数込)
2013年07月18日21時18分35秒,20130525,食費,286,,286,,95,95,95,null,1,null,精算(端数込)
2013年07月18日21時18分49秒,20130525,食費,2744,,2744,,914,914,914,null,2,null,精算(端数込)
2013年07月18日21時19分09秒,20130525,雑貨(消耗品),398,,398,,132,132,132,null,2,null,精算(端数込)
2013年07月18日21時19分17秒,20130525,雑貨(消耗品),398,,398,,132,132,132,null,2,null,精算(端数込)
2013年07月18日21時19分36秒,20130525,雑貨(消耗品),437,,437,,145,145,145,null,2,null,精算(端数込)
2013年06月06日01時38分51秒,20130526,食費,1643,,,1643,547,547,547,null,null,2,精算(端数込)
2013年06月06日01時40分00秒,20130526,食費,4890,,,4890,1630,1630,1630,null,null,null,精算(端数込)
2013年06月06日01時40分39秒,20130526,NHK料金,4040,,,4040,1346,1346,1346,null,null,2,精算(端数込)
2013年06月06日01時40分55秒,20130526,ケーブル代,6930,,,6930,2310,2310,2310,null,null,null,精算(端数込)
2013年07月18日21時18分07秒,20130526,雑貨(消耗品),399,,399,,199,199,,null,1,null,精算(端数込)
2013年07月18日21時18分16秒,20130526,雑貨(消耗品),158,,158,,52,52,52,null,2,null,精算(端数込)
2013年06月27日04時01分02秒,20130527,家賃振込料,420,420,,,140,140,140,null,null,null,精算(端数込)
2013年07月18日21時17分38秒,20130527,雑貨(消耗品),2364,,2364,,788,788,788,null,null,null,精算(端数込)
2013年05月31日04時55分59秒,20130528,食費,1560,1560,,,520,520,520,null,null,null,精算(端数込)
2013年06月27日03時59分43秒,20130528,食費,900,900,,,,900,,null,null,null,精算(端数込)
2013年05月31日04時54分33秒,20130529,NTT料金,3020,3020,,,1006,1006,1006,2,null,null,精算(端数込)
2013年05月31日04時54分47秒,20130529,水道代,8824,8824,,,2941,2941,2941,1,null,null,精算(端数込)
2013年05月31日04時55分03秒,20130529,電気代,10536,10536,,,3512,3512,3512,null,null,null,精算(端数込)
2013年05月31日04時55分20秒,20130529,ガス代,7924,7924,,,2641,2641,2641,1,null,null,精算(端数込)
2013年07月18日21時15分56秒,20130531,食費,698,,698,,349,349,,null,null,null,精算(端数込)
2013年07月18日21時16分30秒,20130531,食費,1110,,1110,,1110,,,null,null,null,精算(端数込)
2013年06月03日02時16分54秒,20130602,食費,1837,,,1837,612,612,612,null,null,1,精算(端数込)
2013年06月03日02時17分09秒,20130602,食費,1371,,,1371,457,457,457,null,null,null,精算(端数込)
2013年06月03日02時17分18秒,20130602,食費,523,,,523,174,174,174,null,null,1,精算(端数込)
2013年06月03日02時17分29秒,20130602,食費,1398,,,1398,466,466,466,null,null,null,精算(端数込)
2013年06月03日02時17分53秒,20130602,食費,1011,,,1011,337,337,337,null,null,null,精算(端数込)
2013年06月03日02時18分04秒,20130602,食費,315,,,315,105,105,105,null,null,null,精算(端数込)
2013年07月18日21時15分10秒,20130602,食費,601,,601,,,,601,null,null,null,精算(端数込)
2013年07月18日21時13分35秒,20130603,食費,1110,,1110,,1110,,,null,null,null,精算(端数込)
2013年07月18日21時14分30秒,20130603,食費,668,,668,,334,334,,null,null,null,精算(端数込)
2013年07月18日21時14分49秒,20130603,食費,506,,506,,168,168,168,null,2,null,精算(端数込)
2013年07月18日21時12分42秒,20130607,食費,1110,,1110,,1110,,,null,null,null,精算(端数込)
2013年07月18日21時13分14秒,20130607,食費,1594,,1594,,797,797,,null,null,null,精算(端数込)
2013年06月11日03時49分53秒,20130608,食費,2182,,,2182,727,727,727,null,null,1,精算(端数込)
2013年06月11日03時50分13秒,20130608,食費,1795,,,1795,598,598,598,null,null,1,精算(端数込)
2013年06月11日03時50分25秒,20130609,食費,1439,,,1439,479,479,479,null,null,2,精算(端数込)
2013年06月11日03時50分37秒,20130609,食費,1518,,,1518,506,506,506,null,null,null,精算(端数込)
2013年06月11日03時50分48秒,20130609,食費,1109,,,1109,369,369,369,null,null,2,精算(端数込)
2013年07月18日21時12分15秒,20130609,食費,147,,147,,49,49,49,null,null,null,精算(端数込)
2013年07月18日21時11分14秒,20130610,食費,940,,940,,940,,,null,null,null,精算(端数込)
2013年07月18日21時11分44秒,20130610,食費,1040,,1040,,520,520,,null,null,null,精算(端数込)
2013年07月18日21時11分52秒,20130610,食費,258,,258,,86,86,86,null,null,null,精算(端数込)
